ids,name_repo,stargazers,watchers,forks,tamaño_kb,issues,network_size
16891381,https://github.com/dbisso/grunt-split-styles,12,1,3,252,2,3
19081978,https://github.com/erikd/conduit-find,12,4,5,147,7,5
17396761,https://github.com/ricordisamoa/dewkin,12,2,7,479,8,7
18889876,https://github.com/Bug-Assassins/Galaxian,12,5,6,188,0,6
16890159,https://github.com/josiah-wolf-oberholtzer/consort,12,3,0,11415,0,0
17427647,https://github.com/kk9527kk/brother-share,12,3,10,423568,0,10
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
17286100,https://github.com/SheffieldKevin/chromakey,12,3,2,204,0,2
18779908,https://github.com/square/grange-server,12,8,12,28,1,12
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
16805130,https://github.com/GavinFoo/DISQUS2DUOSHUO,12,1,1,140,0,1
18772856,https://github.com/JetBrains/intellij-ipnb,12,57,3,13240,7,3
19081978,https://github.com/erikd/conduit-find,12,4,5,147,7,5
17396761,https://github.com/ricordisamoa/dewkin,12,2,7,479,8,7
18688013,https://github.com/kakajansh/meteor-and-famous,12,3,4,159,0,4
18772856,https://github.com/JetBrains/intellij-ipnb,12,57,3,13240,7,3
16655782,https://github.com/NodeBB-Community/nodebb-grunt,12,2,4,201,0,4
18616223,https://github.com/Rub21/osm_visualization,12,4,2,552,3,2
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
18678868,https://github.com/jackfranklin/totesy,12,2,1,664,1,1
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
17102151,https://github.com/lizhi5753186/MyFlappyBird,12,3,36,15120,1,36
16805130,https://github.com/GavinFoo/DISQUS2DUOSHUO,12,1,1,140,0,1
17468133,https://github.com/cliffrowley/atom-circle-ci,12,1,11,45,2,11
18688013,https://github.com/kakajansh/meteor-and-famous,12,3,4,159,0,4
19062150,https://github.com/sintrb/JavaPlot,12,3,4,220,0,4
16668887,https://github.com/hickmank/pyda,12,5,6,2028,11,6
17396761,https://github.com/ricordisamoa/dewkin,12,2,7,479,8,7
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
16736915,https://github.com/l3dlp/gesturesio-js,12,3,1,290,0,1
17102151,https://github.com/lizhi5753186/MyFlappyBird,12,3,36,15120,1,36
18889876,https://github.com/Bug-Assassins/Galaxian,12,5,6,188,0,6
19041285,https://github.com/acdha/python-phash,12,3,11,34,2,11
18887479,https://github.com/simonemainardi/pyspell,12,1,6,25,0,6
18616223,https://github.com/Rub21/osm_visualization,12,4,2,552,3,2
16668887,https://github.com/hickmank/pyda,12,5,6,2028,11,6
18779908,https://github.com/square/grange-server,12,8,12,28,1,12
19426212,https://github.com/thomaxxl/group_info,12,1,3,172,0,3
18889876,https://github.com/Bug-Assassins/Galaxian,12,5,6,188,0,6
19081978,https://github.com/erikd/conduit-find,12,4,5,147,7,5
18772856,https://github.com/JetBrains/intellij-ipnb,12,57,3,13240,7,3
17468133,https://github.com/cliffrowley/atom-circle-ci,12,1,11,45,2,11
19041285,https://github.com/acdha/python-phash,12,3,11,34,2,11
18822392,https://github.com/mikeash/MAParanoidAllocator,12,3,1,204,0,1
19426212,https://github.com/thomaxxl/group_info,12,1,3,172,0,3
18678868,https://github.com/jackfranklin/totesy,12,2,1,664,1,1
16891381,https://github.com/dbisso/grunt-split-styles,12,1,3,252,2,3
16655782,https://github.com/NodeBB-Community/nodebb-grunt,12,2,4,201,0,4
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
16854784,https://github.com/urigoren/TEAN,12,1,0,8228,0,0
17427647,https://github.com/kk9527kk/brother-share,12,3,10,423568,0,10
19067692,https://github.com/crosswalk-project/crosswalk-android-extensions,12,24,21,3480,2,21
16916453,https://github.com/tapeinosyne/light-typedclojure,12,2,5,474,0,5
17396761,https://github.com/ricordisamoa/dewkin,12,2,7,479,8,7
16655782,https://github.com/NodeBB-Community/nodebb-grunt,12,2,4,201,0,4
16890159,https://github.com/josiah-wolf-oberholtzer/consort,12,3,0,11415,0,0
18678868,https://github.com/jackfranklin/totesy,12,2,1,664,1,1
18779908,https://github.com/square/grange-server,12,8,12,28,1,12
18889876,https://github.com/Bug-Assassins/Galaxian,12,5,6,188,0,6
16736915,https://github.com/l3dlp/gesturesio-js,12,3,1,290,0,1
16916453,https://github.com/tapeinosyne/light-typedclojure,12,2,5,474,0,5
17468133,https://github.com/cliffrowley/atom-circle-ci,12,1,11,45,2,11
17102151,https://github.com/lizhi5753186/MyFlappyBird,12,3,36,15120,1,36
19041285,https://github.com/acdha/python-phash,12,3,11,34,2,11
18779908,https://github.com/square/grange-server,12,8,12,28,1,12
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
19426212,https://github.com/thomaxxl/group_info,12,1,3,172,0,3
17427647,https://github.com/kk9527kk/brother-share,12,3,10,423568,0,10
16736915,https://github.com/l3dlp/gesturesio-js,12,3,1,290,0,1
16805130,https://github.com/GavinFoo/DISQUS2DUOSHUO,12,1,1,140,0,1
16891381,https://github.com/dbisso/grunt-split-styles,12,1,3,252,2,3
19062150,https://github.com/sintrb/JavaPlot,12,3,4,220,0,4
16655782,https://github.com/NodeBB-Community/nodebb-grunt,12,2,4,201,0,4
16890159,https://github.com/josiah-wolf-oberholtzer/consort,12,3,0,11415,0,0
17427647,https://github.com/kk9527kk/brother-share,12,3,10,423568,0,10
19426212,https://github.com/thomaxxl/group_info,12,1,3,172,0,3
19067692,https://github.com/crosswalk-project/crosswalk-android-extensions,12,24,21,3480,2,21
18590236,https://github.com/techdev-solutions/spring-test-example,12,11,7,206,0,7
18942281,https://github.com/trinker/qdapTools,12,5,0,386,1,0
17286100,https://github.com/SheffieldKevin/chromakey,12,3,2,204,0,2
18772856,https://github.com/JetBrains/intellij-ipnb,12,57,3,13240,7,3
18616223,https://github.com/Rub21/osm_visualization,12,4,2,552,3,2
16854784,https://github.com/urigoren/TEAN,12,1,0,8228,0,0
17102151,https://github.com/lizhi5753186/MyFlappyBird,12,3,36,15120,1,36
102344,https://github.com/VoQn/vimperator-colorscheme,13,4,1,316,0,1
286886,https://github.com/bltzr/Z,13,9,2,9488,0,2
116193,https://github.com/weavejester/clojure-over-ajax,13,2,1,113,0,1
111345,https://github.com/addywaddy/couchsurfer,13,2,0,172,0,0
102323,https://github.com/cainlevy/presenting,13,3,3,373,2,3
275612,https://github.com/squeejee/shoppr,13,6,7,216,2,7
102730,https://github.com/noelrappin/huddle,13,2,3,9983,0,3
66950,https://github.com/srynot4sale/freeems-tuner,13,3,8,599,0,8
44570,https://github.com/tog/tog_vault,13,6,4,1483,0,4
2403,https://github.com/sgala/gajim,13,5,7,25312,2,7
54681,https://github.com/Aissac/radiant-super-export-extension,13,3,3,245,1,3
116193,https://github.com/weavejester/clojure-over-ajax,13,2,1,113,0,1
264749,https://github.com/phinze/jekyll-example-site,13,1,3,98,0,3
353495,https://github.com/britg/sammy-google-analytics,13,3,6,15,1,6
275612,https://github.com/squeejee/shoppr,13,6,7,216,2,7
30744,https://github.com/mokolabs/styler,13,3,3,19,0,3
318040,https://github.com/RichardBronosky/resume,13,5,1,2431,0,1
102344,https://github.com/VoQn/vimperator-colorscheme,13,4,1,316,0,1
286886,https://github.com/bltzr/Z,13,9,2,9488,0,2
102546,https://github.com/breily/ruby2make,13,3,1,165,0,1
385203,https://github.com/EEHarbor/low_replace,13,7,1,64,0,1
111345,https://github.com/addywaddy/couchsurfer,13,2,0,172,0,0
30744,https://github.com/mokolabs/styler,13,3,3,19,0,3
252812,https://github.com/stuartsierra/altlaw-backend,13,1,5,39503,0,5
44570,https://github.com/tog/tog_vault,13,6,4,1483,0,4
